Benchmark,Restriction,Year Decrease Factor,90% CI,n,R²
GPQA,Pareto Restricted All License,5.908,"[2.667, 13.087]",52,0.8179
,Pareto Restricted Open License,4.774,"[2.284, 9.977]",35,0.7257
GPQA,All License (no restriction),3.154,"[1.810, 5.495]",134,0.6499
,Open License (no restriction),1.046,"[0.531, 2.062]",72,0.4852
AIME,Pareto Restricted All License,15.606,"[6.213, 39.201]",42,0.7354
,Pareto Restricted Open License,4.680,"[1.943, 11.273]",30,0.7539
AIME,All License (no restriction),7.352,"[3.831, 14.108]",106,0.6423
,Open License (no restriction),2.661,"[1.373, 5.157]",55,0.7087
SWE-Bench,Pareto Restricted All License,4.675,"[0.680, 32.156]",13,0.6281
,Pareto Restricted Open License,4.528,"[nan, nan]",3,1.0000
SWE-Bench,All License (no restriction),1.603,"[0.373, 6.881]",21,0.1628
,Open License (no restriction),0.248,"[0.000, 99266.244]",5,0.3222
